Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
GOOG,Alphabet Inc. Class C Capital Stock,$205.60,2.97,1.466%,2516749600000.00,United States,2004,17060067,Technology,Computer Software: Programming Data Processing
GOOGL,Alphabet Inc. Class A Common Stock,$204.02,3.15,1.568%,2497408820000.00,United States,2004,32000420,Technology,Computer Software: Programming Data Processing
HTGC,Hercules Capital Inc. Common Stock,$21.15,0.09,0.427%,3435811367.00,United States,2012,976935,Finance,Investment Managers
tic Substances
ICCH,ICC Holdings Inc. Common Stock,$22.97,-0.10,-0.433%,72093183.00,United States,2017,8914,Finance,Property-Casualty Insurers
ICCM,IceCure Medical Ltd. Ordinary Shares,$1.25,0.00,0.00%,61900000.00,Israel,,220960,Health Care,Medical/Dental Instruments
ICCT,iCoreConnect Inc. Common stock,$2.76,0.01,0.364%,3712134.00,United States,,122325,Technology,Computer Software: Prepackaged Software
ICE,Intercontinental Exchange Inc. Common Stock,$159.83,0.39,0.245%,91770629516.00,United States,2005,2624045,Finance,Investment Bankers/Brokers/Service
ICFI,ICF International Inc. Common Stock,$116.71,-3.14,-2.62%,2189795884.00,United States,2006,318122,Consumer Discretionary,Professional Services
V, Visa,$116.71,-3.14,-2.62%,2189795884.00,United States,2006,318122,Consumer Discretionary,Professional Services
ZURA,Zura Bio Limited Class A Ordinary Shares,$1.88,0.12,6.818%,122751836.00,Cayman Islands,,407217,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ZVIA,Zevia PBC Class A Common Stock,$3.97,-0.36,-8.314%,289865902.00,United States,2021,926146,Consumer Staples,Beverages (Production/Distribution)
ZVRA,Zevra Therapeutics Inc. Common Stock,$7.84,-0.18,-2.244%,418467307.00,United States,,785808,Health Care,Biotechnology: Pharmaceutical Preparations
ZVSA,ZyVersa Therapeutics Inc. Common Stock,$1.39,0.01,0.725%,3258425.00,United States,2022,32342,Health Care,Biotechnology: Pharmaceutical Preparations
ZWS,Zurn Elkay Water Solutions Corporation Common Stock,$39.44,0.14,0.356%,6693515900.00,United States,2012,797691,Industrials,Industrial Machinery/Components
ZYBT,Zhengye Biotechnology Holding Limited Ordinary Shares,$4.59,0.17,3.846%,216493666.00,China,2025,21655,Health Care,Biotechnology: Pharmaceutical Preparations
ZYME,Zymeworks Inc. Common Stock,$14.60,-0.14,-0.95%,1005611880.00,United States,,277600,Health Care,Biotechnology: Pharmaceutical Preparations
ZYXI,Zynex Inc. Common Stock,$7.84,-0.24,-2.97%,249669073.00,United States,,83723,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus

